epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,56610.3,0.57001,0.63203,0.84097,0.98357,0,0.65705,0.84818,0.75358,0.69859,0.65652,0.84966,0.75303,0.64442,0.37674,0.43759,0.72376,0.85185,0,0.0007327,0.0007327,0.0007327
29,58498.4,0.56935,0.64133,0.8348,0.98532,0,0.6894,0.84549,0.77357,0.71747,0.69121,0.84667,0.77434,0.65864,0.40225,0.47326,0.6885,0.86607,0,0.0007228,0.0007228,0.0007228
30,60419.7,0.57335,0.6587,0.82508,0.98756,0,0.69284,0.84112,0.78495,0.72888,0.69176,0.84148,0.78286,0.67069,0.37576,0.43801,0.66334,0.85878,0,0.0007129,0.0007129,0.0007129
31,2807.3,0.56231,0.62613,0.81759,0.98506,0,0.70566,0.83472,0.79928,0.74169,0.70502,0.83618,0.79708,0.68237,0.38221,0.43328,0.63539,0.84791,0,0.000703,0.000703,0.000703
32,4490.03,0.56466,0.62609,0.81311,0.9836,0,0.68303,0.85967,0.80705,0.74902,0.68355,0.85946,0.80556,0.69279,0.38296,0.43631,0.65541,0.86026,0,0.0006931,0.0006931,0.0006931
33,6108.03,0.55716,0.61693,0.80398,0.97937,0,0.70684,0.85663,0.8102,0.75793,0.70909,0.85762,0.80911,0.70129,0.36412,0.42436,0.63219,0.86472,0,0.0006832,0.0006832,0.0006832
34,7807.48,0.55566,0.63511,0.79697,0.97911,0,0.70136,0.86402,0.81294,0.75562,0.69938,0.86337,0.81061,0.69614,0.36713,0.443,0.6352,0.86103,0,0.0006733,0.0006733,0.0006733
35,9466.14,0.55324,0.63455,0.79058,0.97568,0,0.68736,0.84304,0.80989,0.75602,0.69487,0.84176,0.80987,0.69818,0.37119,0.42142,0.6719,0.85592,0,0.0006634,0.0006634,0.0006634
36,11090.9,0.55212,0.62773,0.77889,0.97613,0,0.7291,0.82236,0.82045,0.76051,0.73205,0.82471,0.81894,0.69975,0.36744,0.42443,0.61485,0.85274,0,0.0006535,0.0006535,0.0006535
37,12673,0.539,0.58777,0.76623,0.96845,0,0.70962,0.86199,0.81769,0.76266,0.71059,0.8635,0.81637,0.70504,0.36996,0.4203,0.62235,0.86249,0,0.0006436,0.0006436,0.0006436
38,14268.5,0.54148,0.59442,0.77149,0.97254,0,0.70695,0.84741,0.8141,0.75842,0.70809,0.84876,0.81348,0.70172,0.36155,0.42438,0.62676,0.85736,0,0.0006337,0.0006337,0.0006337
39,15872.4,0.55297,0.6039,0.76405,0.98156,0,0.68497,0.86936,0.82115,0.77115,0.69043,0.86898,0.81914,0.71504,0.34704,0.41366,0.63088,0.84583,0,0.0006238,0.0006238,0.0006238
40,17534.6,0.53903,0.60417,0.75324,0.96981,0,0.72608,0.83693,0.83454,0.78206,0.72822,0.8373,0.83345,0.72317,0.35519,0.42333,0.61145,0.8471,0,0.0006139,0.0006139,0.0006139
41,19235.9,0.53506,0.59536,0.7566,0.96777,0,0.7398,0.83441,0.83,0.77764,0.7398,0.83441,0.82688,0.71105,0.35398,0.42829,0.62589,0.84607,0,0.000604,0.000604,0.000604
42,20885.9,0.53219,0.61217,0.73851,0.96371,0,0.74822,0.82019,0.82734,0.77491,0.75014,0.82118,0.82604,0.71383,0.35093,0.43861,0.61346,0.8354,0,0.0005941,0.0005941,0.0005941
43,22484.8,0.52952,0.59191,0.73365,0.96472,0,0.72157,0.83611,0.82895,0.77194,0.72446,0.83834,0.8283,0.71033,0.36901,0.41773,0.61302,0.85331,0,0.0005842,0.0005842,0.0005842
44,24162.7,0.52338,0.57585,0.72296,0.96235,0,0.75417,0.84189,0.8423,0.78831,0.75417,0.84189,0.84016,0.72276,0.35169,0.41919,0.60174,0.83945,0,0.0005743,0.0005743,0.0005743
45,25799.4,0.52527,0.59126,0.73372,0.96245,0,0.72731,0.8552,0.84398,0.79206,0.73033,0.85331,0.84174,0.72654,0.34506,0.40968,0.59004,0.83551,0,0.0005644,0.0005644,0.0005644
46,27424.6,0.52031,0.57509,0.71698,0.9581,0,0.79241,0.81451,0.8494,0.79665,0.77921,0.82561,0.8455,0.73102,0.3399,0.41359,0.57477,0.83203,0,0.0005545,0.0005545,0.0005545
47,29015.7,0.5207,0.58733,0.71292,0.95691,0,0.7473,0.84986,0.84526,0.78942,0.74762,0.85151,0.84442,0.72966,0.36081,0.41479,0.58319,0.85116,0,0.0005446,0.0005446,0.0005446
48,30653.9,0.51139,0.57238,0.69982,0.95427,0,0.73537,0.85381,0.83711,0.78577,0.73537,0.85381,0.8348,0.72781,0.35295,0.42374,0.604,0.84155,0,0.0005347,0.0005347,0.0005347
49,32285.4,0.51248,0.5756,0.69748,0.95402,0,0.75351,0.83102,0.84859,0.79348,0.75193,0.82991,0.84692,0.73786,0.34842,0.41071,0.58592,0.84625,0,0.0005248,0.0005248,0.0005248
50,3641.5,0.50347,0.55649,0.68088,0.95174,0,0.75386,0.85936,0.8534,0.80035,0.75602,0.85436,0.85051,0.73847,0.34711,0.41383,0.56329,0.83571,0,0.0005149,0.0005149,0.0005149
